name,cuisine,notes,instagram,facebook,website,phone,usual_area,last_seen,status,next_action
Sauce Boss Burger Co.,Burgers,"Award-winning smash burgers; highly active",,,,,,Target,Find IG/FB + confirm weekly schedule
Mi Su Street Food,Street food,"Won Best Food Truck / Best Burger (per local coverage)",,,,,,Target,Find IG/FB + identify recurring venues
Taqueria El Asador,Tacos,"Award-winning; already uses online ordering",,,,,,Target,Find contact + pitch guaranteed spots
Jordan Valley Downtown,Mediterranean,"Often listed as top truck",,,,,,Target,Locate + ask for 10-min onboard
Joe's Caribe,Caribbean/Latin,"Highlighted in local lists",,,,,,Target,Find socials + current parking pattern
Two Birds Street Food,Street food,"Chef-driven; burgers + fried chicken",,,,,,Target,Find schedule + pitch instant booking
Nomadic Eats,,,"",,,,,Target,Identify cuisine + channels
The Deep Blue Seafood,Seafood,,,,,,Target,Find schedule + recurring hosts
Wrighteous Eats,,,"",,,,,Target,Identify cuisine + channels
3-D Eats & Tea,,,"",,,,,Target,Identify cuisine + channels
The Pig & I,BBQ?,,,,,,Target,Find schedule + channels
Wood n Butts BBQ,BBQ,,,,,,Target,Find schedule + channels
Tacos Mexicanos,Tacos,,,,,,Target,Find schedule + channels
A Rustyc Spoon,,,"",,,,,Target,Identify cuisine + channels
Beignet Stand,Dessert,,,,,,Target,Find schedule + channels
The Garden at Palafox + Main,Hub,"Talk to multiple operators in one stop",,,,,,Hub,Visit off-hours + collect owner contacts
Gallery Night,Event,"Recurring downtown event w/ trucks",,,,,,Hub,Confirm next date + attend with flyers
